# Nome, Qtd, Preço, Data(dd/mm/aaaa), Dono (M/C), Tipo: Compra(True) Venda(False)

PETR4,100,26.33,09/10/2019,C,True
STBP3,200,6.31,11/10/2019,C,True
B3SA3,100,48.87,07/11/2019,C,True
B3SA3,100,48.87,07/11/2019,C,True
LREN3,100,51.77,03/12/2019,C,True
BBAS3,100,48.4,03/12/2019,C,False
BBAS3,100,48.83,06/12/2019,C,True
BBAS3,100,48.8,06/12/2019,C,True
ENBR3,200,20.64,12/12/2019,C,True
JBSS3,100,25.59,12/12/2019,C,True
PETR4,100,30.85,12/12/2019,C,True
SULA4,100,15.04,16/12/2019,C,True
EMAE4,200,32.5,20/12/2019,C,True
ENBR3,200,21.24,20/12/2019,C,True
GRND3,100,12.28,20/12/2019,C,True
GRND3,200,12.28,20/12/2019,C,True
PSSA3,100,62.9,20/12/2019,C,True
AZUL4,100,55.24,06/01/2020,C,True
BBDC3,200,34.56,06/01/2020,C,True
EZTC3,100,52.91,06/01/2020,C,True
FLRY3,100,30.43,06/01/2020,C,True
GGBR4,400,20.2,06/01/2020,C,True
IGTA3,100,54.03,06/01/2020,C,True
JBSS3,200,26.66,06/01/2020,C,True
PETR4,300,30.16,06/01/2020,C,True
TOTS3,100,69.31,06/01/2020,C,True
VVAR3,200,11.32,06/01/2020,C,True
BBDC3,200,33,13/01/2020,C,True
BTOW3,100,67.68,13/01/2020,C,True
EZTC3,100,56.15,13/01/2020,C,True
FLRY3,200,31,13/01/2020,C,True
GRND3,100,12.39,13/01/2020,C,True
LREN3,200,57.85,13/01/2020,C,True
PSSA3,100,64.1,13/01/2020,C,True
