date,1. open,2. high,3. low,4. close,5. volume
2002-03-01 18:00:00,3.2,3.216,3.176,3.2,482.0
2002-03-04 18:00:00,3.2,3.2,3.04,3.2,158.0
2002-03-05 18:00:00,3.16,3.24,3.072,3.072,144.0
2002-03-06 18:00:00,3.136,3.16,3.072,3.08,449.0
2002-03-07 18:00:00,3.08,3.224,3.048,3.088,148.0
2002-03-08 18:00:00,3.2,3.216,3.096,3.184,79.0
2002-03-11 18:00:00,3.184,3.2,3.04,3.04,223.0
2002-03-12 18:00:00,3.176,3.192,3.16,3.192,218.0
2002-03-13 18:00:00,3.2,3.24,3.16,3.192,120.0
2002-03-14 18:00:00,3.224,3.272,3.2,3.232,106.0
2002-03-15 18:00:00,3.224,3.28,3.176,3.272,254.0
2002-03-18 18:00:00,3.296,3.296,3.24,3.28,217.0
2002-03-19 18:00:00,3.28,3.352,3.184,3.352,185.0
2002-03-20 18:00:00,3.32,3.424,3.264,3.424,890.0
2002-03-21 18:00:00,3.304,3.36,3.28,3.328,82.0
2002-03-22 18:00:00,3.272,3.312,3.208,3.248,406.0
2002-03-25 18:00:00,3.2,3.256,3.2,3.232,72.0
2002-03-26 18:00:00,3.248,3.344,3.24,3.328,128.0
2002-03-27 18:00:00,3.264,3.288,3.264,3.28,213.0
2002-03-28 18:00:00,3.32,3.512,3.32,3.512,214.0
2002-03-29 18:00:00,4.39,4.39,4.39,4.39,0.0
2002-04-01 18:00:00,3.512,3.72,3.384,3.568,152.0
2002-04-02 18:00:00,3.64,3.64,3.376,3.376,312.0
2002-04-03 18:00:00,3.472,3.472,3.28,3.28,298.0
2002-04-04 18:00:00,3.28,3.424,3.28,3.424,173.0
2002-04-05 18:00:00,3.4,3.512,3.376,3.48,330.0
2002-04-08 18:00:00,3.408,3.448,3.352,3.44,27.0
2002-04-09 18:00:00,3.456,3.456,3.376,3.376,38.0
2002-04-10 18:00:00,3.376,3.48,3.376,3.448,83.0
2002-04-11 18:00:00,3.448,3.592,3.416,3.592,139.0
2002-04-12 18:00:00,3.592,3.76,3.592,3.72,220.0
2002-04-15 18:00:00,3.56,3.8,3.44,3.72,253.0
2002-04-16 18:00:00,3.72,3.992,3.72,3.92,328.0
2002-04-17 18:00:00,3.88,3.96,3.848,3.92,339.0
2002-04-18 18:00:00,3.84,3.84,3.648,3.688,576.0
2002-04-19 18:00:00,3.72,3.728,3.544,3.568,204.0
2002-04-22 18:00:00,3.632,3.632,3.408,3.56,419.0
2002-04-23 18:00:00,3.6,3.6,3.44,3.512,212.0
2002-04-24 18:00:00,3.632,3.704,3.6,3.68,280.0
2002-04-25 18:00:00,3.64,3.712,3.52,3.712,159.0
2002-04-26 18:00:00,3.688,3.688,3.496,3.68,182.0
2002-04-29 18:00:00,3.68,3.68,3.568,3.648,92.0
2002-04-30 18:00:00,3.592,3.664,3.52,3.584,226.0
2002-05-01 18:00:00,4.48,4.48,4.48,4.48,0.0
2002-05-02 18:00:00,3.56,3.616,3.296,3.36,287.0
