date,1. open,2. high,3. low,4. close,5. volume
2000-01-27 18:00:00,4.15,4.2,4.15,4.2,5700.0
2000-01-28 18:00:00,4.17,4.17,4.0,4.1,3800.0
2000-01-31 18:00:00,4.0,4.0,4.0,4.0,1000.0
2000-02-01 18:00:00,4.09,4.09,4.09,4.09,300.0
2000-02-02 18:00:00,3.85,3.85,3.85,3.85,500.0
2000-02-03 18:00:00,3.95,3.97,3.95,3.97,2700.0
2000-02-04 18:00:00,3.97,4.0,3.97,4.0,1200.0
2000-02-07 18:00:00,4.0,4.2,4.0,4.0,8700.0
2000-02-08 18:00:00,4.06,4.06,4.0,4.0,21800.0
2000-02-09 18:00:00,4.0,4.2,3.99,4.2,37100.0
2000-02-10 18:00:00,4.2,5.5,4.2,4.87,165200.0
2000-02-11 18:00:00,5.3,6.0,5.1,5.51,259900.0
2000-02-14 18:00:00,6.0,6.4,5.9,6.25,197300.0
2000-02-15 18:00:00,6.3,6.3,5.58,5.7,81800.0
2000-02-16 18:00:00,5.6,5.9,5.6,5.82,66700.0
2000-02-17 18:00:00,5.7,5.7,5.4,5.42,27200.0
2000-02-18 18:00:00,5.31,5.35,4.9,4.9,22400.0
2000-02-21 18:00:00,4.85,5.3,4.85,5.25,26900.0
2000-02-22 18:00:00,5.25,5.4,5.05,5.05,8000.0
2000-02-23 18:00:00,4.9,5.3,4.9,5.3,12600.0
2000-02-24 18:00:00,5.31,5.31,5.05,5.3,11400.0
2000-02-25 18:00:00,5.3,5.4,5.29,5.3,16800.0
2000-02-28 18:00:00,5.0,5.0,5.0,5.0,100.0
2000-02-29 18:00:00,5.3,5.3,5.0,5.0,16900.0
2000-03-01 18:00:00,5.0,5.0,4.98,4.98,3100.0
2000-03-02 18:00:00,4.95,4.95,4.7,4.7,4200.0
2000-03-03 18:00:00,5.0,5.05,4.99,5.0,9200.0
2000-03-06 18:00:00,5.0,5.05,4.99,5.0,0.0
2000-03-07 18:00:00,5.0,5.05,4.99,5.0,0.0
2000-03-08 18:00:00,4.79,4.9,4.79,4.9,2200.0
2000-03-09 18:00:00,5.0,5.0,4.96,4.96,300.0
2000-03-10 18:00:00,5.0,5.5,5.0,5.25,65500.0
2000-03-13 18:00:00,5.0,5.5,5.0,5.25,0.0
2000-03-14 18:00:00,5.0,5.0,4.93,4.93,4000.0
2000-03-15 18:00:00,4.9,4.9,4.8,4.9,8900.0
2000-03-16 18:00:00,4.95,5.01,4.95,4.95,2200.0
2000-03-17 18:00:00,5.0,5.0,4.7,4.7,5000.0
2000-03-20 18:00:00,4.7,4.9,4.7,4.9,4800.0
2000-03-21 18:00:00,4.9,5.25,4.9,5.25,16400.0
2000-03-22 18:00:00,5.25,5.28,5.01,5.28,15200.0
2000-03-23 18:00:00,5.33,5.38,5.12,5.2,15700.0
2000-03-24 18:00:00,5.2,5.2,4.9,4.9,10100.0
2000-03-27 18:00:00,5.05,5.05,4.9,5.0,21800.0
2000-03-28 18:00:00,5.0,5.01,4.9,4.9,7800.0
2000-03-29 18:00:00,5.1,5.1,4.9,4.9,12900.0
2000-03-30 18:00:00,4.9,4.9,4.86,4.9,1500.0
2000-03-31 18:00:00,4.9,4.99,4.8,4.99,10200.0
2000-04-03 18:00:00,4.8,4.81,4.8,4.81,600.0
2000-04-04 18:00:00,4.82,4.82,4.6,4.8,11900.0
2000-04-05 18:00:00,4.8,5.0,4.8,4.82,10500.0
2000-04-06 18:00:00,5.09,5.09,4.8,4.8,400.0
2000-04-07 18:00:00,4.8,4.8,4.7,4.71,5700.0
2000-04-10 18:00:00,4.7,4.7,4.4,4.49,14900.0
2000-04-11 18:00:00,4.49,4.65,4.2,4.65,10500.0
2000-04-12 18:00:00,4.49,4.65,4.2,4.65,0.0
2000-04-13 18:00:00,4.59,4.7,4.51,4.7,9600.0
2000-04-14 18:00:00,4.21,4.25,4.1,4.1,3700.0
2000-04-17 18:00:00,4.0,4.0,3.81,3.81,13500.0
2000-04-18 18:00:00,4.03,4.03,4.0,4.01,1300.0
2000-04-19 18:00:00,4.02,4.02,4.0,4.0,7900.0
2000-04-20 18:00:00,4.05,4.08,4.05,4.08,2500.0
2000-04-21 18:00:00,4.05,4.08,4.05,4.08,0.0
2000-04-24 18:00:00,4.0,4.4,3.96,4.1,7500.0
2000-04-25 18:00:00,4.1,4.1,4.1,4.1,100.0
2000-04-26 18:00:00,4.1,4.1,4.1,4.1,100.0
2000-04-27 18:00:00,4.1,4.11,4.1,4.1,2900.0
2000-04-28 18:00:00,4.1,4.11,4.1,4.1,0.0
2000-05-01 18:00:00,4.1,4.11,4.1,4.1,0.0
2000-05-02 18:00:00,4.4,4.5,4.4,4.41,8200.0
2000-05-03 18:00:00,4.1,4.5,4.1,4.5,1700.0
2000-05-04 18:00:00,4.1,4.5,4.1,4.5,0.0
2000-05-05 18:00:00,4.2,4.2,4.15,4.16,8100.0
2000-05-08 18:00:00,4.2,4.2,4.2,4.2,400.0
2000-05-09 18:00:00,4.2,4.2,4.2,4.2,0.0
2000-05-10 18:00:00,4.0,4.05,4.0,4.0,7900.0
2000-05-11 18:00:00,4.1,4.1,4.1,4.1,3000.0
2000-05-12 18:00:00,4.05,4.05,4.05,4.05,4000.0
2000-05-15 18:00:00,4.0,4.1,4.0,4.1,1000.0
2000-05-16 18:00:00,4.49,4.49,4.2,4.45,500.0
2000-05-17 18:00:00,4.22,4.22,4.1,4.1,1600.0
2000-05-18 18:00:00,4.1,4.1,3.88,3.88,4700.0
2000-05-19 18:00:00,3.7,3.99,3.7,3.8,4300.0
2000-05-22 18:00:00,3.81,3.81,3.7,3.7,1400.0
2000-05-23 18:00:00,3.71,3.75,3.7,3.71,12600.0
2000-05-24 18:00:00,3.71,3.71,3.71,3.71,400.0
2000-05-25 18:00:00,3.71,3.71,3.71,3.71,100.0
2000-05-26 18:00:00,3.51,3.51,3.5,3.51,600.0
2000-05-29 18:00:00,3.52,3.65,3.52,3.65,3700.0
2000-05-30 18:00:00,4.0,4.0,4.0,4.0,3000.0
2000-05-31 18:00:00,4.11,4.6,4.1,4.25,20700.0
2000-06-01 18:00:00,4.3,4.4,4.3,4.3,6800.0
2000-06-02 18:00:00,4.3,4.5,4.24,4.5,9100.0
2000-06-05 18:00:00,4.6,4.8,4.45,4.45,5900.0
2000-06-06 18:00:00,4.6,4.8,4.45,4.45,0.0
2000-06-07 18:00:00,4.3,4.5,4.3,4.4,6800.0
2000-06-08 18:00:00,4.5,4.5,4.5,4.5,1700.0
2000-06-09 18:00:00,4.75,5.09,4.45,4.45,2700.0
2000-06-12 18:00:00,4.5,4.79,4.4,4.6,11000.0
2000-06-13 18:00:00,4.5,4.65,4.5,4.5,9900.0
2000-06-14 18:00:00,4.2,4.2,4.2,4.2,100.0
2000-06-15 18:00:00,4.2,4.35,4.2,4.35,1700.0
2000-06-16 18:00:00,4.5,4.6,4.4,4.59,65700.0
2000-06-19 18:00:00,4.7,4.8,4.7,4.7,12300.0
2000-06-20 18:00:00,4.79,4.79,4.6,4.65,11000.0
2000-06-21 18:00:00,4.74,4.78,4.51,4.78,4500.0
2000-06-22 18:00:00,4.74,4.78,4.51,4.78,0.0
2000-06-23 18:00:00,5.1,5.1,4.64,4.64,3500.0
2000-06-26 18:00:00,4.64,4.64,4.62,4.64,5700.0
2000-06-27 18:00:00,4.51,4.6,4.5,4.55,50300.0
2000-06-28 18:00:00,5.0,5.0,4.77,4.85,45400.0
2000-06-29 18:00:00,4.8,5.0,4.7,4.7,19100.0
2000-06-30 18:00:00,4.9,4.9,4.9,4.9,16000.0
2000-07-03 18:00:00,4.95,5.58,4.95,5.58,174400.0
2000-07-04 18:00:00,5.5,5.8,5.35,5.35,82800.0
2000-07-05 18:00:00,5.2,5.7,5.2,5.69,27500.0
2000-07-06 18:00:00,5.9,5.95,5.76,5.76,89800.0
2000-07-07 18:00:00,5.76,5.99,5.76,5.85,176600.0
2000-07-10 18:00:00,5.99,5.99,5.8,5.8,16600.0
2000-07-11 18:00:00,5.65,5.65,5.63,5.64,10400.0
2000-07-12 18:00:00,5.51,6.0,5.5,5.9,18800.0
2000-07-13 18:00:00,6.0,6.0,5.6,5.6,15300.0
2000-07-14 18:00:00,5.4,5.85,5.4,5.85,38100.0
2000-07-17 18:00:00,5.9,5.9,5.8,5.8,16100.0
2000-07-18 18:00:00,5.89,5.9,5.7,5.85,17100.0
2000-07-19 18:00:00,5.65,5.65,5.61,5.61,1100.0
2000-07-20 18:00:00,5.5,5.55,5.5,5.55,1100.0
2000-07-21 18:00:00,5.55,5.8,5.55,5.58,39200.0
2000-07-24 18:00:00,5.85,6.3,5.85,6.3,177900.0
2000-07-25 18:00:00,6.39,6.4,6.0,6.1,39500.0
2000-07-26 18:00:00,6.0,6.0,5.82,5.9,22000.0
2000-07-27 18:00:00,5.9,6.0,5.85,5.85,15200.0
2000-07-28 18:00:00,5.8,5.8,5.8,5.8,10500.0
2000-07-31 18:00:00,5.98,5.98,5.77,5.8,40500.0
2000-08-01 18:00:00,5.8,5.94,5.75,5.75,24100.0
2000-08-02 18:00:00,5.8,5.99,5.76,5.99,33900.0
2000-08-03 18:00:00,5.9,5.9,5.9,5.9,22200.0
2000-08-04 18:00:00,5.9,5.91,5.75,5.75,17800.0
2000-08-07 18:00:00,6.0,6.0,5.5,5.8,32600.0
2000-08-08 18:00:00,5.3,6.35,5.3,6.28,261200.0
2000-08-09 18:00:00,6.49,6.49,5.9,6.0,22800.0
2000-08-10 18:00:00,6.0,6.0,5.8,5.99,8300.0
2000-08-11 18:00:00,6.0,6.0,5.9,5.9,34000.0
2000-08-14 18:00:00,6.0,6.23,6.0,6.07,25700.0
2000-08-15 18:00:00,6.05,6.05,5.9,6.0,40700.0
2000-08-16 18:00:00,5.99,6.15,5.86,5.86,38100.0
2000-08-17 18:00:00,5.8,5.9,5.75,5.75,26600.0
2000-08-18 18:00:00,6.3,6.3,5.9,6.0,24000.0
2000-08-21 18:00:00,5.9,5.92,5.81,5.81,27400.0
2000-08-22 18:00:00,5.99,6.05,5.95,6.0,23200.0
2000-08-23 18:00:00,6.0,6.41,6.0,6.25,145700.0
2000-08-24 18:00:00,6.25,6.32,6.15,6.32,47900.0
2000-08-25 18:00:00,6.4,7.0,6.4,6.76,156400.0
2000-08-28 18:00:00,6.83,6.83,6.3,6.4,24000.0
2000-08-29 18:00:00,6.41,6.58,6.2,6.58,16300.0
2000-08-30 18:00:00,6.5,6.84,6.5,6.75,30200.0
2000-08-31 18:00:00,6.9,7.35,6.8,6.8,189700.0
2000-09-01 18:00:00,7.0,7.2,6.8,7.05,41800.0
2000-09-04 18:00:00,7.25,7.25,6.8,7.1,57100.0
2000-09-05 18:00:00,6.9,6.95,6.8,6.95,34400.0
2000-09-06 18:00:00,7.0,7.65,7.0,7.6,236400.0
2000-09-07 18:00:00,7.0,7.65,7.0,7.6,0.0
2000-09-08 18:00:00,7.8,7.89,7.6,7.6,47200.0
2000-09-11 18:00:00,7.6,7.75,7.21,7.47,41200.0
2000-09-12 18:00:00,7.59,8.1,7.45,7.95,179100.0
2000-09-13 18:00:00,8.1,8.18,7.8,7.99,111000.0
2000-09-14 18:00:00,8.0,8.49,7.7,8.0,54300.0
2000-09-15 18:00:00,7.95,8.05,7.8,7.8,5900.0
2000-09-18 18:00:00,7.73,7.73,7.31,7.31,5000.0
2000-09-19 18:00:00,7.21,7.4,6.8,7.12,20100.0
2000-09-20 18:00:00,7.3,7.3,7.0,7.0,39800.0
2000-09-21 18:00:00,7.0,7.15,6.89,7.1,31000.0
2000-09-22 18:00:00,7.0,7.2,6.95,7.2,48600.0
2000-09-25 18:00:00,6.85,6.95,6.85,6.9,14200.0
2000-09-26 18:00:00,6.96,7.2,6.6,6.7,364200.0
2000-09-27 18:00:00,6.98,6.98,6.4,6.4,38000.0
2000-09-28 18:00:00,6.4,6.8,6.4,6.5,12500.0
2000-09-29 18:00:00,6.7,6.7,6.5,6.5,18300.0
2000-10-02 18:00:00,6.5,6.5,6.4,6.41,9500.0
2000-10-03 18:00:00,7.0,7.0,6.5,6.5,13900.0
2000-10-04 18:00:00,6.5,6.6,6.41,6.6,2600.0
2000-10-05 18:00:00,6.5,6.6,6.41,6.6,0.0
2000-10-06 18:00:00,6.85,6.85,6.45,6.45,6400.0
2000-10-09 18:00:00,6.84,6.85,6.5,6.75,25000.0
2000-10-10 18:00:00,6.8,6.84,6.65,6.78,10800.0
2000-10-11 18:00:00,6.6,6.83,6.55,6.83,13000.0
2000-10-12 18:00:00,6.6,6.83,6.55,6.83,0.0
2000-10-13 18:00:00,6.53,6.9,6.4,6.9,12700.0
2000-10-16 18:00:00,6.92,6.92,6.6,6.8,8100.0
2000-10-17 18:00:00,6.88,6.88,6.56,6.6,50600.0
2000-10-18 18:00:00,6.3,6.55,6.1,6.3,15100.0
2000-10-19 18:00:00,6.9,6.9,6.3,6.39,26800.0
2000-10-20 18:00:00,6.29,6.29,6.15,6.15,1600.0
2000-10-23 18:00:00,6.29,6.29,5.99,5.99,6800.0
2000-10-24 18:00:00,6.29,6.29,5.99,5.99,0.0
