date,1. open,2. high,3. low,4. close,5. volume
2007-04-02 18:00:00,10.49,11.3,10.15,10.9,4253000.0
2007-04-03 18:00:00,11.25,11.88,11.0,11.5,1011700.0
2007-04-04 18:00:00,11.5,11.8,11.32,11.57,266800.0
2007-04-05 18:00:00,11.53,11.64,11.33,11.5,233200.0
2007-04-09 18:00:00,11.69,11.69,11.31,11.52,639500.0
2007-04-10 18:00:00,11.45,11.6,11.36,11.4,286800.0
2007-04-11 18:00:00,11.5,11.53,10.81,11.0,485500.0
2007-04-12 18:00:00,11.0,11.45,11.0,11.3,201700.0
2007-04-13 18:00:00,11.4,11.45,11.1,11.37,223300.0
2007-04-16 18:00:00,11.16,11.35,10.9,10.93,589500.0
2007-04-17 18:00:00,11.0,11.1,10.96,11.05,54400.0
2007-04-18 18:00:00,10.8,11.15,10.8,11.1,152300.0
2007-04-19 18:00:00,10.85,11.1,10.85,10.87,720100.0
2007-04-20 18:00:00,10.87,11.22,10.87,11.22,386800.0
2007-04-23 18:00:00,11.24,11.45,11.0,11.45,1224800.0
2007-04-24 18:00:00,11.34,11.5,11.2,11.5,1383400.0
2007-04-25 18:00:00,11.4,11.75,11.4,11.74,1828200.0
2007-04-26 18:00:00,11.8,12.1,11.63,11.93,2029400.0
2007-04-27 18:00:00,11.99,12.9,11.85,12.78,91600.0
2007-04-30 18:00:00,12.52,13.8,12.52,13.35,299000.0
2007-05-02 18:00:00,13.32,14.17,13.0,14.0,467600.0
2007-05-03 18:00:00,13.32,14.17,13.0,14.01,469300.0
2007-05-04 18:00:00,13.8,14.65,13.7,14.4,817500.0
2007-05-07 18:00:00,14.65,14.98,14.31,14.95,431400.0
2007-05-08 18:00:00,14.51,15.4,14.51,15.25,788800.0
2007-05-09 18:00:00,14.51,15.4,14.51,15.19,789100.0
2007-05-10 18:00:00,15.18,15.5,14.7,14.98,45600.0
2007-05-11 18:00:00,15.1,16.14,15.1,15.45,129900.0
2007-05-14 18:00:00,15.46,16.3,15.1,15.49,254700.0
2007-05-15 18:00:00,15.9,16.0,15.0,15.39,396100.0
2007-05-16 18:00:00,15.87,15.89,14.9,15.25,880500.0
2007-05-17 18:00:00,15.49,15.6,14.8,15.2,437000.0
2007-05-18 18:00:00,15.3,16.09,15.15,15.61,569300.0
2007-05-21 18:00:00,15.98,17.0,15.9,16.2,261400.0
2007-05-22 18:00:00,16.21,16.75,16.2,16.5,36200.0
2007-05-23 18:00:00,16.35,17.3,16.3,16.31,211600.0
2007-05-24 18:00:00,16.5,16.5,15.3,15.3,240300.0
2007-05-25 18:00:00,15.9,16.2,15.7,16.05,616800.0
2007-05-28 18:00:00,16.45,16.5,16.0,16.5,26700.0
2007-05-29 18:00:00,16.5,16.5,15.8,15.8,255000.0
2007-05-30 18:00:00,15.74,15.74,15.3,15.45,250300.0
2007-05-31 18:00:00,15.68,15.68,14.95,15.65,179800.0
2007-06-01 18:00:00,15.6,15.7,15.47,15.47,229800.0
2007-06-04 18:00:00,15.4,15.7,15.31,15.31,46600.0
2007-06-05 18:00:00,15.6,16.1,15.6,15.79,94400.0
2007-06-06 18:00:00,15.4,15.7,15.31,15.5,415700.0
2007-06-08 18:00:00,15.5,15.5,15.1,15.39,124600.0
2007-06-11 18:00:00,15.5,16.2,15.5,16.2,800000.0
2007-06-12 18:00:00,15.5,16.2,15.5,15.96,800500.0
2007-06-13 18:00:00,16.29,16.5,16.2,16.5,490900.0
2007-06-14 18:00:00,16.5,16.7,16.39,16.5,503600.0
2007-06-15 18:00:00,16.7,16.96,16.4,16.89,571800.0
2007-06-18 18:00:00,16.95,17.69,16.8,17.0,455500.0
2007-06-19 18:00:00,17.25,17.35,16.5,17.0,860500.0
2007-06-20 18:00:00,17.0,17.35,17.0,17.25,618800.0
2007-06-21 18:00:00,17.34,17.34,17.0,17.15,259900.0
2007-06-22 18:00:00,17.15,17.15,16.9,17.04,135700.0
2007-06-25 18:00:00,17.0,17.0,16.66,16.8,271500.0
2007-06-26 18:00:00,17.0,17.22,16.85,17.22,74400.0
2007-06-27 18:00:00,17.0,17.2,16.9,17.19,164500.0
2007-06-28 18:00:00,17.2,17.2,16.72,16.9,138600.0
2007-06-29 18:00:00,16.9,17.2,16.48,17.2,208500.0
2007-07-02 18:00:00,17.2,17.8,17.19,17.6,652100.0
2007-07-03 18:00:00,17.4,18.0,17.4,17.5,233300.0
2007-07-04 18:00:00,18.0,18.3,17.5,17.96,154300.0
2007-07-05 18:00:00,17.96,19.0,17.9,18.85,677100.0
2007-07-06 18:00:00,19.1,19.65,18.59,19.49,341400.0
2007-07-10 18:00:00,19.2,19.5,19.2,19.48,66100.0
2007-07-11 18:00:00,19.5,19.6,19.2,19.6,291500.0
2007-07-12 18:00:00,19.5,20.4,19.5,19.7,547400.0
2007-07-13 18:00:00,19.6,20.0,19.2,19.21,75800.0
2007-07-16 18:00:00,19.4,19.4,18.5,18.94,299600.0
2007-07-17 18:00:00,18.94,18.95,18.79,18.8,257800.0
2007-07-18 18:00:00,18.94,19.0,18.8,19.0,174000.0
2007-07-19 18:00:00,18.95,19.25,18.9,19.0,399600.0
2007-07-20 18:00:00,19.0,19.25,18.35,18.4,296800.0
2007-07-23 18:00:00,18.75,18.75,18.21,18.4,129400.0
2007-07-24 18:00:00,18.4,18.4,17.1,17.49,186000.0
2007-07-25 18:00:00,17.49,17.85,17.4,17.4,260300.0
2007-07-26 18:00:00,17.41,17.41,15.99,16.52,560900.0
2007-07-27 18:00:00,16.5,16.98,16.05,16.98,319800.0
2007-07-30 18:00:00,16.98,17.0,16.85,17.0,40100.0
