date,1. open,2. high,3. low,4. close,5. volume
2009-12-17 18:00:00,8.5,9.125,8.405,9.125,18837000.0
2009-12-18 18:00:00,9.22,9.225,8.825,8.825,2533800.0
2009-12-21 18:00:00,8.845,8.845,8.465,8.6,2273200.0
2009-12-22 18:00:00,8.695,8.71,8.53,8.65,1136400.0
2009-12-23 18:00:00,8.6,8.75,8.55,8.65,207800.0
2009-12-28 18:00:00,8.625,8.885,8.6,8.85,566400.0
2009-12-30 18:00:00,9.0,9.195,8.975,9.195,590800.0
2010-01-04 18:00:00,9.005,9.25,9.005,9.05,464000.0
2010-01-05 18:00:00,9.1,9.245,8.925,9.0,273800.0
2010-01-06 18:00:00,9.0,9.475,9.0,9.325,764800.0
2010-01-07 18:00:00,9.255,9.37,9.055,9.355,752800.0
2010-01-08 18:00:00,9.16,9.945,9.16,9.545,2120800.0
2010-01-11 18:00:00,9.61,9.74,9.495,9.625,287800.0
2010-01-12 18:00:00,9.625,10.245,9.615,9.8,718200.0
2010-01-13 18:00:00,9.8,9.825,9.6,9.825,314600.0
2010-01-14 18:00:00,9.835,10.225,9.835,10.0,76200.0
2010-01-15 18:00:00,10.025,10.085,9.855,9.855,266400.0
2010-01-18 18:00:00,10.085,10.085,9.92,9.925,103400.0
2010-01-19 18:00:00,9.975,10.075,9.92,10.005,145200.0
2010-01-20 18:00:00,10.0,10.045,9.855,9.875,2142800.0
2010-01-21 18:00:00,9.765,9.995,9.7,9.81,180800.0
2010-01-22 18:00:00,9.795,9.81,9.7,9.75,710000.0
2010-01-26 18:00:00,9.75,9.85,9.695,9.695,860000.0
2010-01-27 18:00:00,9.75,9.75,9.5,9.69,59000.0
2010-01-28 18:00:00,9.57,9.785,9.57,9.75,35200.0
2010-01-29 18:00:00,9.78,10.075,9.745,9.745,321000.0
2010-02-01 18:00:00,9.74,9.74,9.575,9.595,139600.0
2010-02-02 18:00:00,9.575,9.575,9.45,9.45,304600.0
2010-02-03 18:00:00,9.56,9.595,9.425,9.445,62200.0
2010-02-04 18:00:00,9.455,9.545,8.885,8.965,432000.0
2010-02-05 18:00:00,8.965,9.14,8.605,8.845,394200.0
2010-02-08 18:00:00,8.87,9.505,8.7,8.94,437800.0
2010-02-09 18:00:00,9.04,9.325,9.0,9.25,321800.0
2010-02-10 18:00:00,9.245,9.6,9.245,9.47,484600.0
2010-02-11 18:00:00,9.475,9.68,9.385,9.385,314600.0
2010-02-12 18:00:00,9.53,9.585,9.245,9.25,33600.0
2010-02-17 18:00:00,9.575,9.585,9.455,9.5,246600.0
2010-02-18 18:00:00,9.375,10.0,9.23,9.95,211400.0
2010-02-19 18:00:00,9.795,9.975,9.795,9.96,383400.0
2010-02-22 18:00:00,9.75,10.075,9.74,9.87,1007600.0
2010-02-23 18:00:00,9.8,9.915,9.535,9.65,1038200.0
2010-02-24 18:00:00,9.595,9.95,9.595,9.825,56200.0
2010-02-25 18:00:00,9.8,9.8,9.51,9.625,610600.0
2010-02-26 18:00:00,9.585,10.0,9.555,9.995,32800.0
2010-03-01 18:00:00,10.045,10.05,9.615,9.615,1138400.0
2010-03-02 18:00:00,9.65,9.91,9.45,9.475,129800.0
2010-03-03 18:00:00,9.75,9.75,9.48,9.5,210800.0
2010-03-04 18:00:00,9.6,9.665,9.5,9.5,33400.0
2010-03-05 18:00:00,9.645,9.65,9.5,9.625,116600.0
2010-03-08 18:00:00,9.645,9.72,9.53,9.6,86600.0
2010-03-09 18:00:00,9.685,9.69,9.5,9.525,60600.0
2010-03-10 18:00:00,9.525,9.8,9.475,9.475,491000.0
2010-03-11 18:00:00,9.425,9.5,9.275,9.5,162200.0
2010-03-12 18:00:00,9.255,9.62,9.255,9.5,90200.0
2010-03-15 18:00:00,9.25,9.7,9.25,9.6,201800.0
2010-03-16 18:00:00,9.5,9.99,9.41,9.55,534200.0
2010-03-17 18:00:00,9.64,9.915,9.64,9.765,208600.0
2010-03-18 18:00:00,9.675,9.975,9.675,9.9,384400.0
2010-03-19 18:00:00,9.9,9.9,9.525,9.825,1068000.0
2010-03-22 18:00:00,9.83,9.85,9.55,9.85,59200.0
2010-03-23 18:00:00,9.735,9.975,9.735,9.875,613000.0
2010-03-24 18:00:00,9.86,9.9,9.655,9.66,254200.0
2010-03-25 18:00:00,9.755,9.845,9.665,9.775,48200.0
2010-03-26 18:00:00,9.62,9.795,9.62,9.73,48600.0
2010-03-29 18:00:00,9.655,9.815,9.61,9.65,319000.0
2010-03-30 18:00:00,9.79,9.945,9.66,9.705,130800.0
2010-03-31 18:00:00,9.885,9.885,9.5,9.5,1248600.0
2010-04-01 18:00:00,9.5,9.725,9.15,9.155,259000.0
2010-04-05 18:00:00,9.25,9.25,8.9,8.9,583600.0
2010-04-06 18:00:00,9.0,9.0,8.7,8.7,1197600.0
2010-04-07 18:00:00,8.805,8.9,8.43,8.55,913400.0
2010-04-08 18:00:00,8.575,8.9,8.55,8.55,640.0
2010-04-09 18:00:00,8.905,8.975,8.845,8.95,494600.0
2010-04-12 18:00:00,8.945,8.995,8.855,8.995,639200.0
2010-04-13 18:00:00,8.995,9.015,8.83,9.01,1057600.0
2010-04-14 18:00:00,9.02,9.115,8.77,9.0,631400.0
2010-04-15 18:00:00,9.065,9.065,8.8,8.9,71200.0
2010-04-16 18:00:00,8.97,9.03,8.775,8.9,702200.0
2010-04-19 18:00:00,8.895,9.02,8.85,8.85,102200.0
2010-04-20 18:00:00,8.765,9.085,8.765,9.0,652000.0
2010-04-22 18:00:00,8.95,9.0,8.85,8.95,946400.0
2010-04-23 18:00:00,9.005,9.125,8.715,9.0,504000.0
2010-04-26 18:00:00,9.0,9.075,8.875,9.005,259800.0
2010-04-27 18:00:00,8.76,9.03,8.74,8.75,257000.0
2010-04-28 18:00:00,8.845,8.965,8.75,8.75,87800.0
2010-04-29 18:00:00,8.91,8.975,8.82,8.85,76600.0
2010-04-30 18:00:00,8.71,9.125,8.55,8.865,254600.0
2010-05-03 18:00:00,9.0,9.145,9.0,9.0,172.0
2010-05-04 18:00:00,9.01,9.15,8.875,8.9,256400.0
2010-05-05 18:00:00,8.865,8.87,8.675,8.8,102400.0
2010-05-06 18:00:00,8.755,9.04,8.5,8.6,160000.0
2010-05-07 18:00:00,8.55,9.03,8.48,8.48,846800.0
2010-05-10 18:00:00,8.745,9.015,8.305,8.43,181800.0
2010-05-11 18:00:00,8.45,8.695,8.3,8.475,179000.0
2010-05-12 18:00:00,8.5,9.05,8.425,8.58,166000.0
2010-05-13 18:00:00,8.585,8.94,8.585,8.85,335200.0
2010-05-14 18:00:00,8.755,8.95,8.75,8.75,1546600.0
2010-05-17 18:00:00,8.745,8.895,8.385,8.625,170200.0
2010-05-18 18:00:00,8.625,8.885,8.515,8.55,114000.0
2010-05-19 18:00:00,8.55,8.75,8.42,8.5,383400.0
2010-05-20 18:00:00,8.3,8.505,8.3,8.35,861000.0
2010-05-21 18:00:00,8.24,8.5,8.24,8.3,268600.0
2010-05-24 18:00:00,8.47,8.475,8.26,8.26,40000.0
2010-05-25 18:00:00,8.26,8.425,8.005,8.25,108600.0
2010-05-26 18:00:00,8.485,8.5,8.35,8.5,306200.0
2010-05-27 18:00:00,8.495,8.575,8.415,8.575,995000.0
