date,1. open,2. high,3. low,4. close,5. volume
2016-08-22 18:00:00,2.61,2.8,2.61,2.76,7900.0
2016-08-23 18:00:00,2.85,2.85,2.6,2.8,29900.0
2016-08-24 18:00:00,2.8,2.8,2.64,2.64,89500.0
2016-08-25 18:00:00,2.73,2.73,2.45,2.52,37400.0
2016-08-26 18:00:00,2.65,2.84,2.5,2.6,107000.0
2016-08-29 18:00:00,2.75,2.8,2.64,2.65,52100.0
2016-08-30 18:00:00,2.77,3.02,2.7,2.9,134300.0
2016-08-31 18:00:00,2.92,3.05,2.69,2.98,149300.0
2016-09-01 18:00:00,3.01,3.02,2.69,2.78,122900.0
2016-09-02 18:00:00,2.91,2.94,2.6,2.6,97200.0
2016-09-05 18:00:00,2.65,2.77,2.6,2.6,147600.0
2016-09-06 18:00:00,2.62,2.88,2.61,2.63,99400.0
2016-09-08 18:00:00,2.65,2.83,2.62,2.62,82900.0
2016-09-09 18:00:00,2.62,2.77,2.52,2.6,76200.0
2016-09-12 18:00:00,2.62,2.67,2.48,2.61,982900.0
2016-09-13 18:00:00,2.55,2.66,2.53,2.6,119900.0
2016-09-14 18:00:00,2.57,2.64,2.4,2.55,142900.0
2016-09-15 18:00:00,2.48,2.62,2.46,2.62,101400.0
2016-09-16 18:00:00,2.55,2.75,2.43,2.67,1370000.0
2016-09-19 18:00:00,2.63,2.84,2.63,2.8,513900.0
2016-09-20 18:00:00,2.75,2.97,2.7,2.97,2500000.0
2016-09-21 18:00:00,2.97,2.97,2.8,2.86,472600.0
2016-09-22 18:00:00,2.9,2.97,2.85,2.92,151600.0
2016-09-23 18:00:00,2.86,2.92,2.86,2.91,185800.0
2016-09-26 18:00:00,2.91,2.97,2.85,2.95,202300.0
2016-09-27 18:00:00,2.95,2.95,2.87,2.95,91000.0
2016-09-28 18:00:00,2.96,2.96,2.75,2.75,506600.0
2016-09-29 18:00:00,2.85,3.0,2.82,2.82,113500.0
2016-09-30 18:00:00,2.8,2.85,2.77,2.8,104600.0
2016-10-03 18:00:00,2.75,2.84,2.74,2.84,16400.0
2016-10-04 18:00:00,2.77,2.96,2.77,2.9,118200.0
2016-10-05 18:00:00,2.93,3.0,2.8,2.97,5625100.0
2016-10-06 18:00:00,2.97,3.05,2.9,2.97,3528900.0
2016-10-07 18:00:00,2.93,2.97,2.91,2.91,68200.0
2016-10-10 18:00:00,2.86,3.0,2.86,2.92,896500.0
2016-10-11 18:00:00,2.91,3.0,2.84,2.96,374500.0
2016-10-13 18:00:00,2.96,3.07,2.83,3.07,673800.0
2016-10-14 18:00:00,3.04,3.09,2.91,2.91,211400.0
2016-10-17 18:00:00,2.92,3.05,2.85,3.0,207400.0
2016-10-18 18:00:00,3.03,3.14,2.95,3.05,468500.0
2016-10-19 18:00:00,3.14,3.14,2.96,3.02,255000.0
2016-10-20 18:00:00,2.98,3.05,2.94,2.96,171700.0
2016-10-21 18:00:00,2.95,3.01,2.8,2.9,1397300.0
2016-10-24 18:00:00,2.94,2.95,2.84,2.95,69900.0
2016-10-25 18:00:00,2.94,3.01,2.83,3.01,181700.0
2016-10-26 18:00:00,2.99,3.06,2.92,3.06,73100.0
2016-10-27 18:00:00,3.05,3.19,2.95,2.95,97800.0
2016-10-28 18:00:00,3.0,3.0,2.89,2.98,69500.0
2016-10-31 18:00:00,2.92,3.08,2.92,3.02,317800.0
2016-11-01 18:00:00,3.03,3.1,2.95,3.0,658000.0
2016-11-03 18:00:00,3.02,3.2,2.98,3.12,167600.0
2016-11-04 18:00:00,3.14,3.23,3.13,3.14,4829400.0
2016-11-07 18:00:00,3.22,3.28,3.14,3.14,50100.0
2016-11-08 18:00:00,3.2,3.22,3.06,3.14,71100.0
2016-11-09 18:00:00,3.14,3.17,3.09,3.09,4513200.0
2016-11-10 18:00:00,3.1,3.15,2.88,2.93,239300.0
2016-11-11 18:00:00,2.93,2.97,2.74,2.85,230100.0
2016-11-14 18:00:00,2.75,2.99,2.75,2.99,187900.0
2016-11-16 18:00:00,2.87,3.06,2.77,2.9,6248200.0
2016-11-17 18:00:00,2.94,3.05,2.91,2.91,216600.0
2016-11-18 18:00:00,2.99,2.99,2.84,2.99,1069800.0
2016-11-21 18:00:00,3.04,3.13,3.0,3.0,17000.0
2016-11-22 18:00:00,2.96,3.06,2.93,2.99,252700.0
2016-11-23 18:00:00,2.99,3.04,2.78,2.84,457400.0
2016-11-24 18:00:00,2.81,2.97,2.8,2.93,1088600.0
2016-11-25 18:00:00,2.9,2.94,2.86,2.9,2320600.0
2016-11-28 18:00:00,2.87,2.95,2.87,2.92,155400.0
2016-11-29 18:00:00,2.88,2.9,2.84,2.88,306500.0
2016-11-30 18:00:00,2.88,2.89,2.71,2.71,890400.0
2016-12-01 18:00:00,2.71,2.76,2.58,2.7,154400.0
2016-12-02 18:00:00,2.65,2.76,2.64,2.64,214400.0
2016-12-05 18:00:00,2.64,2.64,2.52,2.57,175000.0
2016-12-06 18:00:00,2.55,2.62,2.5,2.5,189000.0
2016-12-07 18:00:00,2.59,2.6,2.51,2.55,644800.0
2016-12-08 18:00:00,2.54,2.55,2.42,2.45,136900.0
2016-12-09 18:00:00,2.42,2.51,2.42,2.46,65800.0
2016-12-12 18:00:00,2.43,2.49,2.31,2.35,64100.0
2016-12-13 18:00:00,2.32,2.51,2.32,2.51,61900.0
2016-12-14 18:00:00,2.51,2.51,2.3,2.3,119900.0
2016-12-15 18:00:00,2.32,2.35,2.23,2.28,245600.0
2016-12-16 18:00:00,2.26,2.39,2.25,2.27,788800.0
2016-12-19 18:00:00,2.27,2.37,2.24,2.28,3893200.0
2016-12-20 18:00:00,2.27,2.32,2.26,2.29,161600.0
2016-12-21 18:00:00,2.22,2.22,2.22,2.22,223800.0
2016-12-22 18:00:00,2.25,2.27,2.18,2.23,1101700.0
2016-12-23 18:00:00,2.28,2.39,2.24,2.3,59000.0
2016-12-26 18:00:00,2.29,2.41,2.29,2.38,37500.0
2016-12-27 18:00:00,2.36,2.44,2.34,2.35,34600.0
